X1-1,X1-2,X2-1,X2-2,X2-3,X3-1,X3-2,X3-3,X3-4,X4-1,X4-2,X4-3,X4-4,X4-5,X4-6,X4-7,X5-1,X5-2,X5-3,X5-4,X5-5,X5-6,X5-7,X5-8,X5-9,X5-10,X5-11,X5-12,X5-13,X5-14,X5-15,X5-16,X5-17,X5-18,X5-19,X5-20,X5-21,X5-22,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,Y
1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142473883,176,187,200,8,6,0.75,8,216,10,0.8,895.3401559
1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14252362,176,187,200,8,6,0.75,8,216,10,0.8,892.4452077
1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143739669,176,187,200,8,6,0.75,8,216,10,0.8,887.982732
1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.175814291,176,187,200,8,6,0.75,8,216,10,0.8,893.3435765
1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19751538,176,187,200,8,6,0.75,8,216,10,0.8,894.317106
1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.202310143,176,187,200,8,6,0.75,8,216,10,0.8,889.5272079
1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026020846,68,66,125,3,2,0.55,8,1600,10,0.7,1420.580887
1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026773041,68,66,125,3,2,0.55,8,1600,10,0.7,1415.664635
1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026804157,68,66,125,3,2,0.55,8,1600,10,0.7,1406.034728
1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026946438,68,66,125,3,2,0.55,8,1600,10,0.7,1406.863954
