Y,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16
269.129117,X1-1,X2-2,X3-1,X4-1,X5-5,0.059440828,409,139,335,14,4.1,0.61,26,240,32,0.6
320.0790709,X1-1,X2-2,X3-1,X4-1,X5-5,0.099794798,376,330,160,10.8,10.8,0.4,12,120,27,0.6
268.8868513,X1-1,X2-2,X3-1,X4-1,X5-5,0.107444653,409,139,335,14,4.1,0.61,26,240,32,0.6
272.3285003,X1-1,X2-2,X3-1,X4-1,X5-5,0.107634574,409,139,335,14,4.1,0.61,26,240,32,0.6
270.4819204,X1-1,X2-2,X3-1,X4-1,X5-5,0.107898002,409,139,335,14,4.1,0.61,26,240,32,0.6
272.3206387,X1-1,X2-2,X3-1,X4-1,X5-5,0.108331362,409,139,335,14,4.1,0.61,26,240,32,0.6
274.7088352,X1-1,X2-2,X3-1,X4-1,X5-5,0.108403292,409,139,335,14,4.1,0.61,26,240,32,0.6
274.2045116,X1-1,X2-2,X3-1,X4-1,X5-5,0.108490777,409,139,335,14,4.1,0.61,26,240,32,0.6
272.5464517,X1-1,X2-2,X3-1,X4-1,X5-5,0.108772675,409,139,335,14,4.1,0.61,26,240,32,0.6
273.4199441,X1-1,X2-2,X3-1,X4-1,X5-5,0.109119569,409,139,335,14,4.1,0.61,26,240,32,0.6
268.8271731,X1-1,X2-2,X3-1,X4-1,X5-5,0.10962766,409,139,335,14,4.1,0.61,26,240,32,0.6
270.8202712,X1-1,X2-2,X3-1,X4-1,X5-5,0.10972048,409,139,335,14,4.1,0.61,26,240,32,0.6
270.315719,X1-1,X2-2,X3-1,X4-1,X5-5,0.109934077,409,139,335,14,4.1,0.61,26,240,32,0.6
271.5745624,X1-1,X2-2,X3-1,X4-1,X5-5,0.110700081,409,139,335,14,4.1,0.61,26,240,32,0.6
403.0276376,X1-1,X2-2,X3-1,X4-1,X5-5,0.12960405,73,73,50,14.5,14.95,0.695,41,56,97,0.6
270.3980686,X1-1,X2-2,X3-1,X4-1,X5-5,0.146908257,409,139,335,14,4.1,0.61,26,240,32,0.6
169.0714705,X1-1,X2-2,X3-2,X4-1,X5-5,0.088187324,73,73,50,14.5,14.95,0.695,41,56,97,0.6
111.8739161,X1-1,X2-2,X3-1,X4-1,X5-6,0.06356623,51,139,50,11.1,11.1,0.65,28,120,29,0.6
111.8739161,X1-1,X2-2,X3-1,X4-1,X5-6,0.06356623,51,139,50,11.1,11.1,0.65,28,120,32,0.6
287.2737038,X1-1,X2-2,X3-1,X4-1,X5-6,0.075758666,51,139,50,11.1,11.1,0.65,28,120,29,0.6
287.2737038,X1-1,X2-2,X3-1,X4-1,X5-6,0.075758666,51,139,50,11.1,11.1,0.65,28,120,32,0.6
